ref_date,geo,noc_code,noc_desc,job_char,total_vacancies,sentiment_score,predicted_total_vacancies
2019-01-01,Newfoundland and Labrador,7,"Trades, transport and equipment operators and related occupations",Part-time,50.0,1.826354,
2019-01-01,Newfoundland and Labrador,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",440.0,1.826354,
2019-01-01,Newfoundland and Labrador,9,Occupations in manufacturing and utilities,"Type of work, all types",60.0,1.826354,
2019-01-01,Newfoundland and Labrador,101,"Total, all occupations",Full-time,2115.0,1.826354,
2019-01-01,Newfoundland and Labrador,101,"Total, all occupations",Part-time,1205.0,1.826354,
2019-01-01,Newfoundland and Labrador,101,"Total, all occupations","Type of work, all types",3320.0,1.826354,
2019-01-01,Northwest Territories,1,"Business, finance and administration occupations",Full-time,75.0,1.826354,
2019-01-01,Northwest Territories,1,"Business, finance and administration occupations","Type of work, all types",80.0,1.826354,
2019-01-01,Northwest Territories,4,"Occupations in education, law and social, community and government services",Full-time,60.0,1.826354,
2019-01-01,Northwest Territories,4,"Occupations in education, law and social, community and government services","Type of work, all types",95.0,1.826354,
2019-01-01,Northwest Territories,6,Sales and service occupations,Part-time,105.0,1.826354,
2019-01-01,Northwest Territories,8,"Natural resources, agriculture and related production occupations",Full-time,10.0,1.826354,
2019-01-01,Northwest Territories,8,"Natural resources, agriculture and related production occupations","Type of work, all types",10.0,1.826354,
2019-01-01,Northwest Territories,101,"Total, all occupations",Full-time,620.0,1.826354,
2019-01-01,Northwest Territories,101,"Total, all occupations",Part-time,155.0,1.826354,
2019-01-01,Northwest Territories,101,"Total, all occupations","Type of work, all types",780.0,1.826354,
2019-01-01,Nova Scotia,1,"Business, finance and administration occupations",Full-time,965.0,1.826354,
2019-01-01,Nova Scotia,1,"Business, finance and administration occupations",Part-time,155.0,1.826354,
2019-01-01,Nova Scotia,1,"Business, finance and administration occupations","Type of work, all types",1115.0,1.826354,
2019-01-01,Nova Scotia,2,Natural and applied sciences and related occupations,Full-time,750.0,1.826354,
2019-01-01,Nova Scotia,2,Natural and applied sciences and related occupations,"Type of work, all types",760.0,1.826354,
2019-01-01,Nova Scotia,3,Health occupations,Full-time,620.0,1.826354,
2019-01-01,Nova Scotia,3,Health occupations,Part-time,840.0,1.826354,
2019-01-01,Nova Scotia,3,Health occupations,"Type of work, all types",1460.0,1.826354,
2019-01-01,Nova Scotia,4,"Occupations in education, law and social, community and government services",Full-time,470.0,1.826354,
2019-01-01,Nova Scotia,4,"Occupations in education, law and social, community and government services",Part-time,385.0,1.826354,
2019-01-01,Nova Scotia,4,"Occupations in education, law and social, community and government services","Type of work, all types",855.0,1.826354,
2019-01-01,Nova Scotia,6,Sales and service occupations,Full-time,1845.0,1.826354,
2019-01-01,Nova Scotia,6,Sales and service occupations,Part-time,1100.0,1.826354,
2019-01-01,Nova Scotia,6,Sales and service occupations,"Type of work, all types",2940.0,1.826354,
2019-01-01,Nova Scotia,7,"Trades, transport and equipment operators and related occupations",Full-time,1065.0,1.826354,
2019-01-01,Nova Scotia,7,"Trades, transport and equipment operators and related occupations",Part-time,225.0,1.826354,
2019-01-01,Nova Scotia,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",1290.0,1.826354,
2019-01-01,Nova Scotia,9,Occupations in manufacturing and utilities,Full-time,530.0,1.826354,
2019-01-01,Nova Scotia,9,Occupations in manufacturing and utilities,"Type of work, all types",585.0,1.826354,
2019-01-01,Nova Scotia,101,"Total, all occupations",Full-time,6555.0,1.826354,
2019-01-01,Nova Scotia,101,"Total, all occupations",Part-time,2870.0,1.826354,
2019-01-01,Nova Scotia,101,"Total, all occupations","Type of work, all types",9425.0,1.826354,
2019-01-01,Nunavut,1,"Business, finance and administration occupations",Full-time,55.0,1.826354,
2019-01-01,Nunavut,1,"Business, finance and administration occupations","Type of work, all types",55.0,1.826354,
2019-01-01,Nunavut,2,Natural and applied sciences and related occupations,Full-time,55.0,1.826354,
2019-01-01,Nunavut,2,Natural and applied sciences and related occupations,"Type of work, all types",55.0,1.826354,
2019-01-01,Nunavut,4,"Occupations in education, law and social, community and government services",Full-time,50.0,1.826354,
2019-01-01,Nunavut,4,"Occupations in education, law and social, community and government services",Part-time,0.0,1.826354,
2019-01-01,Nunavut,4,"Occupations in education, law and social, community and government services","Type of work, all types",50.0,1.826354,
2019-01-01,Nunavut,6,Sales and service occupations,Full-time,60.0,1.826354,
2019-01-01,Nunavut,6,Sales and service occupations,Part-time,40.0,1.826354,
2019-01-01,Nunavut,6,Sales and service occupations,"Type of work, all types",100.0,1.826354,
2019-01-01,Nunavut,7,"Trades, transport and equipment operators and related occupations",Full-time,110.0,1.826354,
2019-01-01,Nunavut,7,"Trades, transport and equipment operators and related occupations",Part-time,35.0,1.826354,
2019-01-01,Nunavut,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",145.0,1.826354,
2019-01-01,Nunavut,101,"Total, all occupations",Full-time,365.0,1.826354,
2019-01-01,Nunavut,101,"Total, all occupations",Part-time,80.0,1.826354,
2019-01-01,Nunavut,101,"Total, all occupations","Type of work, all types",440.0,1.826354,
2019-01-01,Ontario,0,Legislative and senior management occupations,Full-time,480.0,1.826354,
2019-01-01,Ontario,0,Legislative and senior management occupations,Part-time,0.0,1.826354,
2019-01-01,Ontario,0,Legislative and senior management occupations,"Type of work, all types",480.0,1.826354,
2019-01-01,Ontario,1,"Business, finance and administration occupations",Full-time,24965.0,1.826354,
2019-01-01,Ontario,1,"Business, finance and administration occupations",Part-time,3180.0,1.826354,
2019-01-01,Ontario,1,"Business, finance and administration occupations","Type of work, all types",28150.0,1.826354,
2019-01-01,Ontario,2,Natural and applied sciences and related occupations,Full-time,17025.0,1.826354,
2019-01-01,Ontario,2,Natural and applied sciences and related occupations,Part-time,350.0,1.826354,
2019-01-01,Ontario,2,Natural and applied sciences and related occupations,"Type of work, all types",17375.0,1.826354,
2019-01-01,Ontario,3,Health occupations,Full-time,6490.0,1.826354,
2019-01-01,Ontario,3,Health occupations,Part-time,9095.0,1.826354,
2019-01-01,Ontario,3,Health occupations,"Type of work, all types",15585.0,1.826354,
2019-01-01,Ontario,4,"Occupations in education, law and social, community and government services",Full-time,7670.0,1.826354,
2019-01-01,Ontario,4,"Occupations in education, law and social, community and government services",Part-time,6910.0,1.826354,
2019-01-01,Ontario,4,"Occupations in education, law and social, community and government services","Type of work, all types",14580.0,1.826354,
2019-01-01,Ontario,5,"Occupations in art, culture, recreation and sport",Full-time,2505.0,1.826354,
2019-01-01,Ontario,5,"Occupations in art, culture, recreation and sport",Part-time,2170.0,1.826354,
2019-01-01,Ontario,5,"Occupations in art, culture, recreation and sport","Type of work, all types",4675.0,1.826354,
2019-01-01,Ontario,6,Sales and service occupations,Full-time,33735.0,1.826354,
2019-01-01,Ontario,6,Sales and service occupations,Part-time,29760.0,1.826354,
2019-01-01,Ontario,6,Sales and service occupations,"Type of work, all types",63495.0,1.826354,
